"log2FoldChange"	"padj"
"ENSG00000187642"	-2.82675796328661	0.0180296862868228
"ENSG00000162576"	-2.39469424831794	0.0428990003188482
"ENSG00000169717"	21.3991440864307	2.14609105805125e-08
"ENSG00000198912"	-0.826712785504855	0.0479017841685125
"ENSG00000116726"	22.618939758997	5.73458378291496e-09
"ENSG00000116721"	22.6428033529161	5.68093205518322e-09
"ENSG00000243073"	21.5645843716176	1.80952854952955e-08
"ENSG00000204510"	21.9277134205317	1.19822535780535e-08
"ENSG00000274178"	21.620006264509	1.70534112036228e-08
"ENSG00000182330"	21.7724729328283	1.41062320406749e-08
"ENSG00000204481"	22.676819577006	5.53225182484573e-09
"ENSG00000171729"	-1.45895398735182	0.0254840808158455
"ENSG00000117115"	2.77476085124833	0.0143761096245688
"ENSG00000179023"	21.8549181238941	5.4646478433304e-09
"ENSG00000127463"	2.23201431241749	0.0433566820026597
"ENSG00000158008"	-1.68025505304439	0.00401530215111815
"ENSG00000253304"	-2.98524224351912	0.0468216918107492
"ENSG00000117016"	2.02553291660504	0.0280199370643152
"ENSG00000044012"	21.6059683734179	1.72470274257356e-08
"ENSG00000197273"	21.6075978391195	1.72470274257356e-08
"ENSG00000237090"	22.0075580762551	1.09794802655533e-08
"ENSG00000225721"	-2.27301608497132	0.0248901970904986
"ENSG00000187048"	24.2394308475925	2.43138637348089e-09
"ENSG00000225671"	21.0551424420363	3.3780819485313e-08
"ENSG00000174348"	3.7106866628035	0.00743392580705361
"ENSG00000162409"	3.93541986638913	0.0433566820026597
"ENSG00000187889"	6.5274373154053	0.0348658949322981
"ENSG00000134716"	3.65494839815314	0.0227698936288076
"ENSG00000158966"	4.93257173797811	0.00206419014483939
"ENSG00000116745"	24.0622135554663	2.25870397290564e-11
"ENSG00000117069"	4.40305480247915	0.0412291135485901
"ENSG00000137941"	4.76002748619123	0.0120145959618398
"ENSG00000238081"	21.1869809363695	2.85589200165027e-08
"ENSG00000183347"	23.7731220530028	3.4635296918931e-09
"ENSG00000232882"	3.82675143063818	0.0412483613845883
"ENSG00000198691"	6.96296217056783	0.00571886238502554
"ENSG00000117525"	2.97305102422004	0.0468956221048736
"ENSG00000243480"	10.4430682079648	0.00359094467626324
"ENSG00000237763"	21.1065734125559	3.18056634028506e-08
"ENSG00000187733"	22.0251950403117	1.07495366299855e-08
"ENSG00000225191"	21.406220930507	2.1334086668961e-08
"ENSG00000196427"	20.1988985873012	1.31114450149627e-07
"ENSG00000197780"	-1.81101496047099	0.00378242028906132
"ENSG00000134201"	5.8027779997081	0.00787524379902346
"ENSG00000143105"	22.9332828287956	5.14879900974307e-09
"ENSG00000203878"	21.5270285024129	1.87870204112425e-08
"ENSG00000134216"	22.4448255878293	6.54095467132879e-09
"ENSG00000134200"	22.1622749998894	9.18218958292950e-09
"ENSG00000232185"	21.4365590395573	2.05284715264158e-08
"ENSG00000118729"	4.85699493640619	0.0300653225417514
"ENSG00000223489"	21.0978538398474	3.20035011277436e-08
"ENSG00000155761"	7.14779219594739	0.0135055284622112
"ENSG00000203859"	22.5955532121135	5.77361662339149e-09
"ENSG00000203858"	21.3323243539615	2.31679299337124e-08
"ENSG00000134250"	1.16046529500117	0.0181518763856976
"ENSG00000198019"	20.973492668273	3.76181094947352e-08
"ENSG00000277702"	4.95584305994479	0.00580001216745102
"ENSG00000203825"	23.9207300940148	2.7024447891496e-10
"ENSG00000179571"	7.52992646288229	0.0484939366339626
"ENSG00000143127"	4.83920972292008	0.0315211098511433
